id,title,publication_link,date,RCIH_authors,authors,all_authors
204,Reliability and Validity of a New Taekwondo-Specific Change-of-Direction Speed Test With Striking Techniques in Elite Taekwondo Athletes: A Pilot Study,https://pureportal.coventry.ac.uk/en/publications/reliability-and-validity-of-a-new-taekwondo-specific-change-of-di,26 Apr 2022,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Aloui, A.', 'link': None}, {'name': 'Tayech, A.', 'link': None}, {'name': 'Mejri, M. A.', 'link': None}, {'name': 'Makhlouf, I.', 'link': None}, {'name': 'Granacher, U.', 'link': None}, {'name': 'Zouhal, H.', 'link': None}, {'name': 'Ben Abderrahman, A.', 'link': None}]","Clark, C. C. T., Aloui, A., Tayech, A., Mejri, M. A., Makhlouf, I., Granacher, U., Zouhal, H., Ben Abderrahman, A."
205,Reliable Detection of Myocardial Ischemia Using Machine Learning Based on Temporal-Spatial Characteristics of Electrocardiogram and Vectorcardiogram,https://pureportal.coventry.ac.uk/en/publications/reliable-detection-of-myocardial-ischemia-using-machine-learning-,30 May 2022,"[{'name': 'Liu, H.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/haipeng-liu'}]","[{'name': 'Zhao, X.', 'link': None}, {'name': 'Zhang, J.', 'link': None}, {'name': 'Gong, Y.', 'link': None}, {'name': 'Xu, L.', 'link': None}, {'name': 'Wei, S.', 'link': None}, {'name': 'Wu, Y.', 'link': None}, {'name': 'Cha, G.', 'link': None}, {'name': 'Wei, H.', 'link': None}, {'name': 'Mao, J.', 'link': None}, {'name': 'Xia, L.', 'link': None}]","Liu, H., Zhao, X., Zhang, J., Gong, Y., Xu, L., Wei, S., Wu, Y., Cha, G., Wei, H., Mao, J., Xia, L."
206,"Religious fasting and its impacts on individual, public, and planetary health: Fasting as a “religious health asset” for a healthier, more equitable, and sustainable society",https://pureportal.coventry.ac.uk/en/publications/religious-fasting-and-its-impacts-on-individual-public-and-planet,24 Nov 2022,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Trabelsi, K.', 'link': None}, {'name': 'Ammar, A.', 'link': None}, {'name': 'Boujelbane, M. A.', 'link': None}, {'name': 'Puce, L.', 'link': None}, {'name': 'Garbarino, S.', 'link': None}, {'name': 'Scoditti, E.', 'link': None}, {'name': 'Boukhris, O.', 'link': None}, {'name': 'Khanfir, S.', 'link': None}, {'name': 'Glenn, J. M.', 'link': None}, {'name': 'Alhaj, O. A.', 'link': None}, {'name': 'Jahrami, H.', 'link': None}, {'name': 'Chtourou, H.', 'link': None}, {'name': 'Bragazzi, N. L.', 'link': None}]","Clark, C. C. T., Trabelsi, K., Ammar, A., Boujelbane, M. A., Puce, L., Garbarino, S., Scoditti, E., Boukhris, O., Khanfir, S., Glenn, J. M., Alhaj, O. A., Jahrami, H., Chtourou, H., Bragazzi, N. L."
207,Responses of some matrix metalloproteinases activities to an acute session of endurance exercise and electrical stimulation in induced myocardial infarction in Wistar rats,https://pureportal.coventry.ac.uk/en/publications/responses-of-some-matrix-metalloproteinases-activities-to-an-acut,10 Jun 2022,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Sayyah, M.', 'link': None}, {'name': 'Malekipooya, M.', 'link': None}, {'name': 'Khansooz, M.', 'link': None}, {'name': 'Pourabbasi, M. S.', 'link': None}, {'name': 'Irandoust, K.', 'link': None}, {'name': 'Taheri, M.', 'link': None}, {'name': 'H’Mida, C.', 'link': None}, {'name': 'Halouani, J.', 'link': None}, {'name': 'Trabelsi, K.', 'link': None}, {'name': 'Chtourou, H.', 'link': None}, {'name': 'Bragazzi, N. L.', 'link': None}]","Clark, C. C. T., Sayyah, M., Malekipooya, M., Khansooz, M., Pourabbasi, M. S., Irandoust, K., Taheri, M., H’Mida, C., Halouani, J., Trabelsi, K., Chtourou, H., Bragazzi, N. L."
208,Retinal microvascular associations with cardiometabolic risk factors differ by diabetes status: results from the UK Biobank,https://pureportal.coventry.ac.uk/en/publications/retinal-microvascular-associations-with-cardiometabolic-risk-fact,Oct 2022,"[{'name': 'Tapp, R. J.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/robyn-tapp'}]","[{'name': 'Owen, C. G.', 'link': None}, {'name': 'Barman, S. A.', 'link': None}, {'name': 'Strachan, D. P.', 'link': None}, {'name': 'Welikala, R. A.', 'link': None}, {'name': 'Foster, P. J.', 'link': None}, {'name': 'Whincup, P. H.', 'link': None}, {'name': 'Rudnicka, A. R.', 'link': None}]","Tapp, R. J., Owen, C. G., Barman, S. A., Strachan, D. P., Welikala, R. A., Foster, P. J., Whincup, P. H., Rudnicka, A. R."
209,RF Based Real Time Human Motion Sensing,https://pureportal.coventry.ac.uk/en/publications/rf-based-real-time-human-motion-sensing,16 Feb 2022,"[{'name': 'Shah, S. A.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah'}]","[{'name': 'Taylor, W.', 'link': None}, {'name': 'Taha, A.', 'link': None}, {'name': 'Dashtipour, K.', 'link': None}, {'name': 'Abbasi, Q. H.', 'link': None}, {'name': 'Imran, M. A.', 'link': None}]","Shah, S. A., Taylor, W., Taha, A., Dashtipour, K., Abbasi, Q. H., Imran, M. A."
210,RL-Recruiter+: Mobility-Predictability-Aware Participant Selection Learning for From-Scratch Mobile Crowdsensing,https://pureportal.coventry.ac.uk/en/publications/rl-recruiter-mobility-predictability-aware-participant-selection-,1 Dec 2022,"[{'name': 'Wang, J.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/jiangtao-wang'}]","[{'name': 'Hu, Y.', 'link': None}, {'name': 'Wu, B.', 'link': None}, {'name': 'Helal, S.', 'link': None}]","Wang, J., Hu, Y., Wu, B., Helal, S."
211,Sommeil et somnolence diurne chez des athlètes élites et des sujets sédentaires,https://pureportal.coventry.ac.uk/en/publications/sommeil-et-somnolence-diurne-chez-des-athl%C3%A8tes-%C3%A9lites-et-des-suje,Feb 2022,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Jemal, M.', 'link': None}, {'name': 'Trabelsi, K.', 'link': None}, {'name': 'Boukhris, O.', 'link': None}, {'name': 'Ammar, A.', 'link': None}, {'name': 'Chtourou, H.', 'link': None}]","Clark, C. C. T., Jemal, M., Trabelsi, K., Boukhris, O., Ammar, A., Chtourou, H."
212,Sources of automatic office blood pressure measurement error: a systematic review,https://pureportal.coventry.ac.uk/en/publications/sources-of-automatic-office-blood-pressure-measurement-error-a-sy,30 Sept 2022,"[{'name': 'Zheng, D.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2'}]","[{'name': 'Liu, J.', 'link': None}, {'name': 'Li, Y.', 'link': None}, {'name': 'Li, J.', 'link': None}, {'name': 'Liu, C.', 'link': None}]","Zheng, D., Liu, J., Li, Y., Li, J., Liu, C."
213,SPACE FOR COPD delivered as a maintenance programme on Pulmonary Rehabilitation discharge: protocol of a randomised controlled trial evaluating the long-term effects on exercise tolerance and mental well-being,https://pureportal.coventry.ac.uk/en/publications/space-for-copd-delivered-as-a-maintenance-programme-on-pulmonary-,25 Apr 2022,"[{'name': 'Szczepura, A.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/ala-szczepura'}]","[{'name': 'Alqahtani, K. A.', 'link': None}, {'name': 'Gerlis, C.', 'link': None}, {'name': 'Nolan, C. M.', 'link': None}, {'name': 'Gardiner, N.', 'link': None}, {'name': 'Man, W.', 'link': None}, {'name': 'Singh, S.', 'link': None}, {'name': 'Houchen-Wolloff, L.', 'link': None}]","Szczepura, A., Alqahtani, K. A., Gerlis, C., Nolan, C. M., Gardiner, N., Man, W., Singh, S., Houchen-Wolloff, L."
214,Spatial-Attention and Demographic-Augmented Generative Adversarial Imputation Network for Population Health Data Reconstruction,https://pureportal.coventry.ac.uk/en/publications/spatial-attention-and-demographic-augmented-generative-adversaria,8 Dec 2022,"[{'name': 'Wang, J.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/jiangtao-wang'}]","[{'name': 'Feng, Y.', 'link': None}, {'name': 'Wang, Y.', 'link': None}, {'name': 'Chu, X.', 'link': None}]","Wang, J., Feng, Y., Wang, Y., Chu, X."
215,Statistical Analysis of the Consistency of HRV Analysis Using BCG or Pulse Wave Signals,https://pureportal.coventry.ac.uk/en/publications/statistical-analysis-of-the-consistency-of-hrv-analysis-using-bcg,21 Mar 2022,"[{'name': 'Zheng, D.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2'}]","[{'name': 'Cui, H.', 'link': None}, {'name': 'Wang, Z.', 'link': None}, {'name': 'Yu, B.', 'link': None}, {'name': 'Jiang, F.', 'link': None}, {'name': 'Geng, N.', 'link': None}, {'name': 'Li, Y.', 'link': None}, {'name': 'Xu, L.', 'link': None}, {'name': 'Zhang, B.', 'link': None}, {'name': 'Lu, P.', 'link': None}, {'name': 'Greenwald, S. E.', 'link': None}]","Zheng, D., Cui, H., Wang, Z., Yu, B., Jiang, F., Geng, N., Li, Y., Xu, L., Zhang, B., Lu, P., Greenwald, S. E."
216,"Survivor, family and professional experiences of psychosocial interventions for sexual abuse and violence: a qualitative evidence synthesis",https://pureportal.coventry.ac.uk/en/publications/survivor-family-and-professional-experiences-of-psychosocial-inte-2,4 Oct 2022,"[{'name': 'Carter, G.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/grace-carter'}, {'name': ""O'Doherty, L."", 'link': 'https://pureportal.coventry.ac.uk/en/persons/lorna-odoherty'}]","[{'name': 'Brown, S.', 'link': None}, {'name': 'Halliwell, G.', 'link': None}, {'name': 'Brown, K.', 'link': None}, {'name': 'Caswell, R.', 'link': None}, {'name': 'Howarth, E.', 'link': None}, {'name': 'Feder, G.', 'link': None}]","Carter, G., O'Doherty, L., Brown, S., Halliwell, G., Brown, K., Caswell, R., Howarth, E., Feder, G."
217,"Systematic Review of Physical Activity, Sedentary Behaviour and Sleep Among Adults Living with Chronic Respiratory Disease in Low- and Middle-Income Countries.",https://pureportal.coventry.ac.uk/en/publications/systematic-review-of-physical-activity-sedentary-behaviour-and-sl,18 Apr 2022,"[{'name': 'Wilde, L. J.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/laura-wilde'}]","[{'name': 'Jayamaha, A. R.', 'link': None}, {'name': 'Jones, A. V.', 'link': None}, {'name': 'Katagira, W.', 'link': None}, {'name': 'Girase, B.', 'link': None}, {'name': 'Yusuf, Z. K.', 'link': None}, {'name': 'Pina, I.', 'link': None}, {'name': 'Akylbekov, A.', 'link': None}, {'name': 'Divall, P.', 'link': None}, {'name': 'Singh, S. J.', 'link': None}, {'name': 'Orme, M.', 'link': None}]","Wilde, L. J., Jayamaha, A. R., Jones, A. V., Katagira, W., Girase, B., Yusuf, Z. K., Pina, I., Akylbekov, A., Divall, P., Singh, S. J., Orme, M."
218,The Acute Effects of Cognitively Demanding Physical Activity on Inhibitory and Affective Responses in Children: An Online-Based Mixed Methods Approach,https://pureportal.coventry.ac.uk/en/publications/the-acute-effects-of-cognitively-demanding-physical-activity-on-i,2 Dec 2022,"[{'name': 'Martins, R. M. G.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/ricardo-martins'}, {'name': 'Duncan, M. J.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan'}, {'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}, {'name': 'Eyre, E. L. J.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/emma-eyre'}]","[{'name': 'Mazzoli, E.', 'link': None}]","Martins, R. M. G., Duncan, M. J., Clark, C. C. T., Eyre, E. L. J., Mazzoli, E."
219,"The association between dietary inflammatory index, muscle strength, muscle endurance, and body composition in Iranian adults",https://pureportal.coventry.ac.uk/en/publications/the-association-between-dietary-inflammatory-index-muscle-strengt,Mar 2022,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Shahinfar, H.', 'link': None}, {'name': 'Shahavandi, M.', 'link': None}, {'name': 'Tijani, A. J.', 'link': None}, {'name': 'Jafari, A.', 'link': None}, {'name': 'Davarzani, S.', 'link': None}, {'name': 'Djafarian, K.', 'link': None}, {'name': 'Shab-Bidar, S.', 'link': None}]","Clark, C. C. T., Shahinfar, H., Shahavandi, M., Tijani, A. J., Jafari, A., Davarzani, S., Djafarian, K., Shab-Bidar, S."
220,The association between dietary total antioxidant capacity with risk of rheumatoid arthritis in adults: A case–control study,https://pureportal.coventry.ac.uk/en/publications/the-association-between-dietary-total-antioxidant-capacity-with-r,Oct 2022,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Moradi, A.', 'link': None}, {'name': 'Nezamoleslami, S.', 'link': None}, {'name': 'nezamoleslami, S.', 'link': None}, {'name': 'Sohouli, M. H.', 'link': None}, {'name': 'Ghiasvand, R.', 'link': None}]","Clark, C. C. T., Moradi, A., Nezamoleslami, S., nezamoleslami, S., Sohouli, M. H., Ghiasvand, R."
221,The Association between Healthy Beverage Index and Healthy and Unhealthy Obesity Phenotypes among Obese Women: A Cross-Sectional Study,https://pureportal.coventry.ac.uk/en/publications/the-association-between-healthy-beverage-index-and-healthy-and-un,29 Dec 2022,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Rasaei, N.', 'link': None}, {'name': 'Hosseininasab, D.', 'link': None}, {'name': 'Shiraseb, F.', 'link': None}, {'name': 'Gholami, F.', 'link': None}, {'name': 'Noori, S.', 'link': None}, {'name': 'Ghaffarian-Ensaf, R.', 'link': None}, {'name': 'Daneshzad, E.', 'link': None}, {'name': 'Mirzaei, K.', 'link': None}]","Clark, C. C. T., Rasaei, N., Hosseininasab, D., Shiraseb, F., Gholami, F., Noori, S., Ghaffarian-Ensaf, R., Daneshzad, E., Mirzaei, K."
222,The association between Healthy Beverage Index and psychological disorders among overweight and obese women: a cross-sectional study,https://pureportal.coventry.ac.uk/en/publications/the-association-between-healthy-beverage-index-and-psychological-,Dec 2022,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Rasaei, N.', 'link': None}, {'name': 'Ghaffarian-Ensaf, R.', 'link': None}, {'name': 'Shiraseb, F.', 'link': None}, {'name': 'Abaj, F.', 'link': None}, {'name': 'Gholami, F.', 'link': None}, {'name': 'Mirzaei, K.', 'link': None}]","Clark, C. C. T., Rasaei, N., Ghaffarian-Ensaf, R., Shiraseb, F., Abaj, F., Gholami, F., Mirzaei, K."
223,The association between lunch composition and obesity in Iranian adults,https://pureportal.coventry.ac.uk/en/publications/the-association-between-lunch-composition-and-obesity-in-iranian-,28 May 2022,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Akbarzade, Z.', 'link': None}, {'name': 'Djafarian, K.', 'link': None}, {'name': 'Saeidifard, N.', 'link': None}, {'name': 'Aliakbari Majd, S.', 'link': None}, {'name': 'Garousi, N.', 'link': None}, {'name': 'Samadi, F.', 'link': None}, {'name': 'Jebraeili, H.', 'link': None}, {'name': 'Chamari, M.', 'link': None}, {'name': 'Shab-Bidar, S.', 'link': None}]","Clark, C. C. T., Akbarzade, Z., Djafarian, K., Saeidifard, N., Aliakbari Majd, S., Garousi, N., Samadi, F., Jebraeili, H., Chamari, M., Shab-Bidar, S."
224,The association between modified Nordic diet with sleep quality and circadian rhythm in overweight and obese woman: a cross-sectional study,https://pureportal.coventry.ac.uk/en/publications/the-association-between-modified-nordic-diet-with-sleep-quality-a,Jun 2022,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Mousavi, S. A.', 'link': None}, {'name': 'Mirzababaei, A.', 'link': None}, {'name': 'Shiraseb, F.', 'link': None}, {'name': 'Mirzaei, K.', 'link': None}]","Clark, C. C. T., Mousavi, S. A., Mirzababaei, A., Shiraseb, F., Mirzaei, K."
225,The association between recommended and non-recommended food scores on cardiovascular risk factors in obese and overweight adult women: a cross-sectional study,https://pureportal.coventry.ac.uk/en/publications/the-association-between-recommended-and-non-recommended-food-scor,Dec 2022,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Sabbari, M.', 'link': None}, {'name': 'Mirzababaei, A.', 'link': None}, {'name': 'Shiraseb, F.', 'link': None}, {'name': 'Mirzaei, K.', 'link': None}]","Clark, C. C. T., Sabbari, M., Mirzababaei, A., Shiraseb, F., Mirzaei, K."
226,The association between the Healthy Eating Index (HEI-2015) score and body composition among Iranian soccer players and referees: a cross-sectional study,https://pureportal.coventry.ac.uk/en/publications/the-association-between-the-healthy-eating-index-hei-2015-score-a,11 Jul 2022,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Beba, M.', 'link': None}, {'name': 'Seif-Barghi, T.', 'link': None}, {'name': 'Shab-Bidar, S.', 'link': None}, {'name': 'Yarizadeh, H.', 'link': None}, {'name': 'Tijani, A. J.', 'link': None}, {'name': 'Djafarian, K.', 'link': None}]","Clark, C. C. T., Beba, M., Seif-Barghi, T., Shab-Bidar, S., Yarizadeh, H., Tijani, A. J., Djafarian, K."
227,The association between urinary metabolites of polycyclic aromatic hydrocarbons (PAHs) and cardiovascular diseases and blood pressure: a systematic review and meta-analysis of observational studies,https://pureportal.coventry.ac.uk/en/publications/the-association-between-urinary-metabolites-of-polycyclic-aromati,Jan 2022,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Mirzababaei, A.', 'link': None}, {'name': 'Daneshzad, E.', 'link': None}, {'name': 'Moradi, S.', 'link': None}, {'name': 'Abaj, F.', 'link': None}, {'name': 'Mehranfar, S.', 'link': None}, {'name': 'Asbaghi, O.', 'link': None}, {'name': 'Mirzaei, K.', 'link': None}]","Clark, C. C. T., Mirzababaei, A., Daneshzad, E., Moradi, S., Abaj, F., Mehranfar, S., Asbaghi, O., Mirzaei, K."
228,"The association of appetite and hormones (leptin, ghrelin, and Insulin) with resting metabolic rate in overweight/ obese women: a case–control study",https://pureportal.coventry.ac.uk/en/publications/the-association-of-appetite-and-hormones-leptin-ghrelin-and-insul,Dec 2022,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Hajishizari, S.', 'link': None}, {'name': 'Imani, H.', 'link': None}, {'name': 'Mehranfar, S.', 'link': None}, {'name': 'Saeed Yekaninejad, M.', 'link': None}, {'name': 'Mirzababaei, A.', 'link': None}, {'name': 'Mirzaei, K.', 'link': None}]","Clark, C. C. T., Hajishizari, S., Imani, H., Mehranfar, S., Saeed Yekaninejad, M., Mirzababaei, A., Mirzaei, K."
229,The association of Carbohydrate Quality Index with cardiovascular disease risk factors among women with overweight and obesity: A cross-sectional study,https://pureportal.coventry.ac.uk/en/publications/the-association-of-carbohydrate-quality-index-with-cardiovascular,8 Sept 2022,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Khosravinia, D.', 'link': None}, {'name': 'Shiraseb, F.', 'link': None}, {'name': 'Mirzababaei, A.', 'link': None}, {'name': 'Jamili, S.', 'link': None}, {'name': 'Daneshzad, E.', 'link': None}, {'name': 'Mirzaei, K.', 'link': None}]","Clark, C. C. T., Khosravinia, D., Shiraseb, F., Mirzababaei, A., Jamili, S., Daneshzad, E., Mirzaei, K."
230,The association of dietary acid load with resting metabolic rate and metabolic components in overweight and obese women: A cross sectional study,https://pureportal.coventry.ac.uk/en/publications/the-association-of-dietary-acid-load-with-resting-metabolic-rate-,Feb 2022,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Mirzababaei, A.', 'link': None}, {'name': 'Shiraseb, F.', 'link': None}, {'name': 'Setayesh, L.', 'link': None}, {'name': 'Tavakoli, A.', 'link': None}, {'name': 'Daneshzad, E.', 'link': None}, {'name': 'Abaj, F.', 'link': None}, {'name': 'Mirzaei, K.', 'link': None}]","Clark, C. C. T., Mirzababaei, A., Shiraseb, F., Setayesh, L., Tavakoli, A., Daneshzad, E., Abaj, F., Mirzaei, K."
231,"The Association of Inflammatory Markers, IL-1α and TGF-β, with Dietary Insulin Load and Dietary Insulin Index in Overweight and Obese Women with Healthy and Unhealthy Metabolic Phenotypes: A Cross-Sectional Study",https://pureportal.coventry.ac.uk/en/publications/the-association-of-inflammatory-markers-il-1%CE%B1-and-tgf-%CE%B2-with-diet,13 Oct 2022,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Noori, S.', 'link': None}, {'name': 'Mirzababaei, A.', 'link': None}, {'name': 'Shiraseb, F.', 'link': None}, {'name': 'Bagheri, R.', 'link': None}, {'name': 'Wong, A.', 'link': None}, {'name': 'Suzuki, K.', 'link': None}, {'name': 'Mirzaei, K.', 'link': None}]","Clark, C. C. T., Noori, S., Mirzababaei, A., Shiraseb, F., Bagheri, R., Wong, A., Suzuki, K., Mirzaei, K."
232,The association of meal glycemic index/load with quantitative and qualitative indicators of sleep: a systematic review,https://pureportal.coventry.ac.uk/en/publications/the-association-of-meal-glycemic-indexload-with-quantitative-and-,1 Dec 2022,"[{'name': 'Clark, C. C.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Amiri-Ardekani, E.', 'link': None}, {'name': 'Kazemi, A.', 'link': None}, {'name': 'Sasani, N.', 'link': None}, {'name': 'Fanfulla, F.', 'link': None}]","Clark, C. C., Amiri-Ardekani, E., Kazemi, A., Sasani, N., Fanfulla, F."
